,year,community_board,metric,value
2266,2011,Bronx Community Board 8,Under 18 Population,20542.607
2267,2012,Bronx Community Board 8,Under 18 Population,20563.234
2268,2013,Bronx Community Board 8,Under 18 Population,20583.883
2269,2014,Bronx Community Board 8,Under 18 Population,20604.55
2270,2015,Bronx Community Board 8,Under 18 Population,20625.24
2271,2016,Bronx Community Board 8,Under 18 Population,20645.951
2272,2017,Bronx Community Board 8,Under 18 Population,20666.682
2273,2018,Bronx Community Board 8,Under 18 Population,20687.434
2274,2019,Bronx Community Board 8,Under 18 Population,20708.207
2275,2020,Bronx Community Board 8,Under 18 Population,20729.0
2276,2021,Bronx Community Board 8,Under 18 Population,20749.814
2277,2022,Bronx Community Board 8,Under 18 Population,20770.65
2278,2023,Bronx Community Board 8,Under 18 Population,20791.506
2279,2024,Bronx Community Board 8,Under 18 Population,20812.383
2280,2006,Bronx Community Board 8,White Population,41434.195
2281,2007,Bronx Community Board 8,White Population,40861.375
2282,2008,Bronx Community Board 8,White Population,40296.477
2283,2009,Bronx Community Board 8,White Population,39739.387
2284,2010,Bronx Community Board 8,White Population,39190.0
2285,2011,Bronx Community Board 8,White Population,38648.207
2286,2012,Bronx Community Board 8,White Population,38113.906
2287,2013,Bronx Community Board 8,White Population,37586.99
2288,2014,Bronx Community Board 8,White Population,37067.36
2289,2015,Bronx Community Board 8,White Population,36554.91
2290,2016,Bronx Community Board 8,White Population,36049.547
2291,2017,Bronx Community Board 8,White Population,35551.17
2292,2018,Bronx Community Board 8,White Population,35059.684
2293,2019,Bronx Community Board 8,White Population,34574.992
2294,2020,Bronx Community Board 8,White Population,34097.0
2295,2021,Bronx Community Board 8,White Population,33625.617
2296,2022,Bronx Community Board 8,White Population,33160.75
2297,2023,Bronx Community Board 8,White Population,32702.31
2298,2024,Bronx Community Board 8,White Population,32250.209
2299,2006,Bronx Community Board 9,Asian Population,7251.1177
2300,2007,Bronx Community Board 9,Asian Population,7831.3926
2301,2008,Bronx Community Board 9,Asian Population,8458.1045
2302,2009,Bronx Community Board 9,Asian Population,9134.969
2303,2010,Bronx Community Board 9,Asian Population,9866.0
2304,2011,Bronx Community Board 9,Asian Population,10655.532
2305,2012,Bronx Community Board 9,Asian Population,11508.248
2306,2013,Bronx Community Board 9,Asian Population,12429.202
2307,2014,Bronx Community Board 9,Asian Population,13423.855
2308,2015,Bronx Community Board 9,Asian Population,14498.107
2309,2016,Bronx Community Board 9,Asian Population,15658.327
2310,2017,Bronx Community Board 9,Asian Population,16911.395
2311,2018,Bronx Community Board 9,Asian Population,18264.738
2312,2019,Bronx Community Board 9,Asian Population,19726.385
2313,2020,Bronx Community Board 9,Asian Population,21305.0
2314,2021,Bronx Community Board 9,Asian Population,23009.945
2315,2022,Bronx Community Board 9,Asian Population,24851.33
2316,2023,Bronx Community Board 9,Asian Population,26840.072
2317,2024,Bronx Community Board 9,Asian Population,28987.963
2318,2006,Bronx Community Board 9,Average Household Size,2.7641592
2319,2007,Bronx Community Board 9,Average Household Size,2.768111
2320,2008,Bronx Community Board 9,Average Household Size,2.7720683
2321,2009,Bronx Community Board 9,Average Household Size,2.7760313
2322,2010,Bronx Community Board 9,Average Household Size,2.78
2323,2011,Bronx Community Board 9,Average Household Size,2.7839744
2324,2012,Bronx Community Board 9,Average Household Size,2.7879543
2325,2013,Bronx Community Board 9,Average Household Size,2.79194
2326,2014,Bronx Community Board 9,Average Household Size,2.7959316
2327,2015,Bronx Community Board 9,Average Household Size,2.7999287
2328,2016,Bronx Community Board 9,Average Household Size,2.8039315
2329,2017,Bronx Community Board 9,Average Household Size,2.80794
2330,2018,Bronx Community Board 9,Average Household Size,2.8119543
2331,2019,Bronx Community Board 9,Average Household Size,2.8159742
2332,2020,Bronx Community Board 9,Average Household Size,2.82
2333,2021,Bronx Community Board 9,Average Household Size,2.8240316
2334,2022,Bronx Community Board 9,Average Household Size,2.8280687
2335,2023,Bronx Community Board 9,Average Household Size,2.8321118
2336,2024,Bronx Community Board 9,Average Household Size,2.8361607
2337,2006,Bronx Community Board 9,Black Population,54198.277
2338,2007,Bronx Community Board 9,Black Population,53913.98
2339,2008,Bronx Community Board 9,Black Population,53631.17
2340,2009,Bronx Community Board 9,Black Population,53349.848
2341,2010,Bronx Community Board 9,Black Population,53070.0
2342,2011,Bronx Community Board 9,Black Population,52791.62
2343,2012,Bronx Community Board 9,Black Population,52514.7
2344,2013,Bronx Community Board 9,Black Population,52239.234
2345,2014,Bronx Community Board 9,Black Population,51965.21
2346,2015,Bronx Community Board 9,Black Population,51692.625
2347,2016,Bronx Community Board 9,Black Population,51421.473
2348,2017,Bronx Community Board 9,Black Population,51151.74
2349,2018,Bronx Community Board 9,Black Population,50883.42
2350,2019,Bronx Community Board 9,Black Population,50616.51
2351,2020,Bronx Community Board 9,Black Population,50351.0
2352,2021,Bronx Community Board 9,Black Population,50086.883
2353,2022,Bronx Community Board 9,Black Population,49824.152
2354,2023,Bronx Community Board 9,Black Population,49562.797
2355,2024,Bronx Community Board 9,Black Population,49302.812
2356,2006,Bronx Community Board 9,Hispanic Population,97664.414
2357,2007,Bronx Community Board 9,Hispanic Population,98083.35
2358,2008,Bronx Community Board 9,Hispanic Population,98504.09
2359,2009,Bronx Community Board 9,Hispanic Population,98926.64
2360,2010,Bronx Community Board 9,Hispanic Population,99351.0
2361,2011,Bronx Community Board 9,Hispanic Population,99777.18
2362,2012,Bronx Community Board 9,Hispanic Population,100205.19
2363,2013,Bronx Community Board 9,Hispanic Population,100635.03
2364,2014,Bronx Community Board 9,Hispanic Population,101066.71
2365,2015,Bronx Community Board 9,Hispanic Population,101500.25
2366,2016,Bronx Community Board 9,Hispanic Population,101935.65
2367,2017,Bronx Community Board 9,Hispanic Population,102372.914
2368,2018,Bronx Community Board 9,Hispanic Population,102812.055
2369,2019,Bronx Community Board 9,Hispanic Population,103253.086
2370,2020,Bronx Community Board 9,Hispanic Population,103696.0
2371,2021,Bronx Community Board 9,Hispanic Population,104140.82
2372,2022,Bronx Community Board 9,Hispanic Population,104587.54
2373,2023,Bronx Community Board 9,Hispanic Population,105036.18
2374,2024,Bronx Community Board 9,Hispanic Population,105486.75
2375,2006,Bronx Community Board 9,Household Population,165341.47
2376,2007,Bronx Community Board 9,Household Population,166734.66
2377,2008,Bronx Community Board 9,Household Population,168139.56
2378,2009,Bronx Community Board 9,Household Population,169556.31
2379,2010,Bronx Community Board 9,Household Population,170985.0
2380,2011,Bronx Community Board 9,Household Population,172425.72
2381,2012,Bronx Community Board 9,Household Population,173878.6
2382,2013,Bronx Community Board 9,Household Population,175343.7
2383,2014,Bronx Community Board 9,Household Population,176821.16
2384,2015,Bronx Community Board 9,Household Population,178311.05
2385,2016,Bronx Community Board 9,Household Population,179813.52
2386,2017,Bronx Community Board 9,Household Population,181328.62
2387,2018,Bronx Community Board 9,Household Population,182856.5
2388,2019,Bronx Community Board 9,Household Population,184397.27
2389,2020,Bronx Community Board 9,Household Population,185951.0
2390,2021,Bronx Community Board 9,Household Population,187517.83
2391,2022,Bronx Community Board 9,Household Population,189097.86
2392,2023,Bronx Community Board 9,Household Population,190691.2
2393,2024,Bronx Community Board 9,Household Population,192297.98
2394,2006,Bronx Community Board 9,Housing Units,63080.383
2395,2007,Bronx Community Board 9,Housing Units,63457.883
2396,2008,Bronx Community Board 9,Housing Units,63837.645
2397,2009,Bronx Community Board 9,Housing Units,64219.68
2398,2010,Bronx Community Board 9,Housing Units,64604.0
2399,2011,Bronx Community Board 9,Housing Units,64990.62
2400,2012,Bronx Community Board 9,Housing Units,65379.555
2401,2013,Bronx Community Board 9,Housing Units,65770.81
2402,2014,Bronx Community Board 9,Housing Units,66164.42
2403,2015,Bronx Community Board 9,Housing Units,66560.375
2404,2016,Bronx Community Board 9,Housing Units,66958.7
2405,2017,Bronx Community Board 9,Housing Units,67359.42
2406,2018,Bronx Community Board 9,Housing Units,67762.53
2407,2019,Bronx Community Board 9,Housing Units,68168.05
2408,2020,Bronx Community Board 9,Housing Units,68576.0
2409,2021,Bronx Community Board 9,Housing Units,68986.39
2410,2022,Bronx Community Board 9,Housing Units,69399.234
2411,2023,Bronx Community Board 9,Housing Units,69814.555
2412,2024,Bronx Community Board 9,Housing Units,70232.36
2413,2006,Bronx Community Board 9,Occupied Housing,59926.348
2414,2007,Bronx Community Board 9,Occupied Housing,60342.9
2415,2008,Bronx Community Board 9,Occupied Housing,60762.344
2416,2009,Bronx Community Board 9,Occupied Housing,61184.703
2417,2010,Bronx Community Board 9,Occupied Housing,61610.0
2418,2011,Bronx Community Board 9,Occupied Housing,62038.254
2419,2012,Bronx Community Board 9,Occupied Housing,62469.484
2420,2013,Bronx Community Board 9,Occupied Housing,62903.71
2421,2014,Bronx Community Board 9,Occupied Housing,63340.957
2422,2015,Bronx Community Board 9,Occupied Housing,63781.242
2423,2016,Bronx Community Board 9,Occupied Housing,64224.586
2424,2017,Bronx Community Board 9,Occupied Housing,64671.01
2425,2018,Bronx Community Board 9,Occupied Housing,65120.543
2426,2019,Bronx Community Board 9,Occupied Housing,65573.195
2427,2020,Bronx Community Board 9,Occupied Housing,66029.0
2428,2021,Bronx Community Board 9,Occupied Housing,66487.97
2429,2022,Bronx Community Board 9,Occupied Housing,66950.13
2430,2023,Bronx Community Board 9,Occupied Housing,67415.5
2431,2024,Bronx Community Board 9,Occupied Housing,67884.11
2432,2006,Bronx Community Board 9,Other Population,2233.3035
2433,2007,Bronx Community Board 9,Other Population,2326.4822
2434,2008,Bronx Community Board 9,Other Population,2423.5486
2435,2009,Bronx Community Board 9,Other Population,2524.6648
2436,2010,Bronx Community Board 9,Other Population,2630.0
2437,2011,Bronx Community Board 9,Other Population,2739.73
2438,2012,Bronx Community Board 9,Other Population,2854.038
2439,2013,Bronx Community Board 9,Other Population,2973.1155
2440,2014,Bronx Community Board 9,Other Population,3097.161
2441,2015,Bronx Community Board 9,Other Population,3226.3818
2442,2016,Bronx Community Board 9,Other Population,3360.9944
2443,2017,Bronx Community Board 9,Other Population,3501.2231
2444,2018,Bronx Community Board 9,Other Population,3647.3025
2445,2019,Bronx Community Board 9,Other Population,3799.4768
2446,2020,Bronx Community Board 9,Other Population,3958.0
2447,2021,Bronx Community Board 9,Other Population,4123.137
2448,2022,Bronx Community Board 9,Other Population,4295.1646
2449,2023,Bronx Community Board 9,Other Population,4474.369
2450,2024,Bronx Community Board 9,Other Population,4661.0503
2451,2006,Bronx Community Board 9,Population,166302.69
2452,2007,Bronx Community Board 9,Population,167781.67
2453,2008,Bronx Community Board 9,Population,169273.8
2454,2009,Bronx Community Board 9,Population,170779.2
2455,2010,Bronx Community Board 9,Population,172298.0
2456,2011,Bronx Community Board 9,Population,173830.3
2457,2012,Bronx Community Board 9,Population,175376.23
2458,2013,Bronx Community Board 9,Population,176935.9
2459,2014,Bronx Community Board 9,Population,178509.45
2460,2015,Bronx Community Board 9,Population,180096.98
2461,2016,Bronx Community Board 9,Population,181698.66
2462,2017,Bronx Community Board 9,Population,183314.55
2463,2018,Bronx Community Board 9,Population,184944.83
2464,2019,Bronx Community Board 9,Population,186589.6
2465,2020,Bronx Community Board 9,Population,188249.0
2466,2021,Bronx Community Board 9,Population,189923.16
2467,2022,Bronx Community Board 9,Population,191612.2
2468,2023,Bronx Community Board 9,Population,193316.27
2469,2024,Bronx Community Board 9,Population,195035.5
2470,2006,Bronx Community Board 9,Under 18 Population,45934.914
2471,2007,Bronx Community Board 9,Under 18 Population,45896.137
2472,2008,Bronx Community Board 9,Under 18 Population,45857.39
2473,2009,Bronx Community Board 9,Under 18 Population,45818.68
2474,2010,Bronx Community Board 9,Under 18 Population,45780.0
2475,2011,Bronx Community Board 9,Under 18 Population,45741.355
2476,2012,Bronx Community Board 9,Under 18 Population,45702.74
2477,2013,Bronx Community Board 9,Under 18 Population,45664.16
2478,2014,Bronx Community Board 9,Under 18 Population,45625.61
2479,2015,Bronx Community Board 9,Under 18 Population,45587.094
2480,2016,Bronx Community Board 9,Under 18 Population,45548.61
2481,2017,Bronx Community Board 9,Under 18 Population,45510.16
2482,2018,Bronx Community Board 9,Under 18 Population,45471.74
2483,2019,Bronx Community Board 9,Under 18 Population,45433.355
2484,2020,Bronx Community Board 9,Under 18 Population,45395.0
2485,2021,Bronx Community Board 9,Under 18 Population,45356.68
2486,2022,Bronx Community Board 9,Under 18 Population,45318.39
2487,2023,Bronx Community Board 9,Under 18 Population,45280.133
2488,2024,Bronx Community Board 9,Under 18 Population,45241.906
2489,2006,Bronx Community Board 9,White Population,4705.7007
2490,2007,Bronx Community Board 9,White Population,4716.4883
2491,2008,Bronx Community Board 9,White Population,4727.301
2492,2009,Bronx Community Board 9,White Population,4738.1377
2493,2010,Bronx Community Board 9,White Population,4749.0
2494,2011,Bronx Community Board 9,White Population,4759.887
2495,2012,Bronx Community Board 9,White Population,4770.799
2496,2013,Bronx Community Board 9,White Population,4781.736
2497,2014,Bronx Community Board 9,White Population,4792.6978
2498,2015,Bronx Community Board 9,White Population,4803.685
2499,2016,Bronx Community Board 9,White Population,4814.6978
2500,2017,Bronx Community Board 9,White Population,4825.7354
2501,2018,Bronx Community Board 9,White Population,4836.798
2502,2019,Bronx Community Board 9,White Population,4847.886
2503,2020,Bronx Community Board 9,White Population,4859.0
2504,2021,Bronx Community Board 9,White Population,4870.139
2505,2022,Bronx Community Board 9,White Population,4881.3037
2506,2023,Bronx Community Board 9,White Population,4892.494
2507,2024,Bronx Community Board 9,White Population,4903.71
2508,2006,Brooklyn Community Board 1,Asian Population,7282.561
2509,2007,Brooklyn Community Board 1,Asian Population,7616.0557
2510,2008,Brooklyn Community Board 1,Asian Population,7964.822
2511,2009,Brooklyn Community Board 1,Asian Population,8329.56
2512,2010,Brooklyn Community Board 1,Asian Population,8711.0
2513,2011,Brooklyn Community Board 1,Asian Population,9109.908
2514,2012,Brooklyn Community Board 1,Asian Population,9527.083
2515,2013,Brooklyn Community Board 1,Asian Population,9963.362
2516,2014,Brooklyn Community Board 1,Asian Population,10419.62
2517,2015,Brooklyn Community Board 1,Asian Population,10896.772
2518,2016,Brooklyn Community Board 1,Asian Population,11395.774
2519,2017,Brooklyn Community Board 1,Asian Population,11917.628
2520,2018,Brooklyn Community Board 1,Asian Population,12463.378
2521,2019,Brooklyn Community Board 1,Asian Population,13034.121
2522,2020,Brooklyn Community Board 1,Asian Population,13631.0
2523,2021,Brooklyn Community Board 1,Asian Population,14255.212
2524,2022,Brooklyn Community Board 1,Asian Population,14908.01
2525,2023,Brooklyn Community Board 1,Asian Population,15590.7
2526,2024,Brooklyn Community Board 1,Asian Population,16304.654
2527,2006,Brooklyn Community Board 1,Average Household Size,2.6856797
2528,2007,Brooklyn Community Board 1,Average Household Size,2.6665564
2529,2008,Brooklyn Community Board 1,Average Household Size,2.6475694
2530,2009,Brooklyn Community Board 1,Average Household Size,2.6287177
2531,2010,Brooklyn Community Board 1,Average Household Size,2.61
2532,2011,Brooklyn Community Board 1,Average Household Size,2.5914156
2533,2012,Brooklyn Community Board 1,Average Household Size,2.5729637
2534,2013,Brooklyn Community Board 1,Average Household Size,2.5546432
2535,2014,Brooklyn Community Board 1,Average Household Size,2.536453
2536,2015,Brooklyn Community Board 1,Average Household Size,2.5183923
2537,2016,Brooklyn Community Board 1,Average Household Size,2.5004604
2538,2017,Brooklyn Community Board 1,Average Household Size,2.482656
2539,2018,Brooklyn Community Board 1,Average Household Size,2.4649785
2540,2019,Brooklyn Community Board 1,Average Household Size,2.4474268
2541,2020,Brooklyn Community Board 1,Average Household Size,2.43
2542,2021,Brooklyn Community Board 1,Average Household Size,2.4126973
2543,2022,Brooklyn Community Board 1,Average Household Size,2.3955178
2544,2023,Brooklyn Community Board 1,Average Household Size,2.378461
2545,2024,Brooklyn Community Board 1,Average Household Size,2.361525
2546,2006,Brooklyn Community Board 1,Black Population,8377.196
2547,2007,Brooklyn Community Board 1,Black Population,8524.468
2548,2008,Brooklyn Community Board 1,Black Population,8674.329
2549,2009,Brooklyn Community Board 1,Black Population,8826.824
2550,2010,Brooklyn Community Board 1,Black Population,8982.0
2551,2011,Brooklyn Community Board 1,Black Population,9139.904
2552,2012,Brooklyn Community Board 1,Black Population,9300.584
2553,2013,Brooklyn Community Board 1,Black Population,9464.089
2554,2014,Brooklyn Community Board 1,Black Population,9630.469
2555,2015,Brooklyn Community Board 1,Black Population,9799.772
2556,2016,Brooklyn Community Board 1,Black Population,9972.054
2557,2017,Brooklyn Community Board 1,Black Population,10147.362
2558,2018,Brooklyn Community Board 1,Black Population,10325.754
2559,2019,Brooklyn Community Board 1,Black Population,10507.281
2560,2020,Brooklyn Community Board 1,Black Population,10692.0
2561,2021,Brooklyn Community Board 1,Black Population,10879.966
2562,2022,Brooklyn Community Board 1,Black Population,11071.236
2563,2023,Brooklyn Community Board 1,Black Population,11265.869
2564,2024,Brooklyn Community Board 1,Black Population,11463.924
2565,2006,Brooklyn Community Board 1,Hispanic Population,47635.156
2566,2007,Brooklyn Community Board 1,Hispanic Population,47477.586
2567,2008,Brooklyn Community Board 1,Hispanic Population,47320.54
2568,2009,Brooklyn Community Board 1,Hispanic Population,47164.01
2569,2010,Brooklyn Community Board 1,Hispanic Population,47008.0
2570,2011,Brooklyn Community Board 1,Hispanic Population,46852.504
2571,2012,Brooklyn Community Board 1,Hispanic Population,46697.527
2572,2013,Brooklyn Community Board 1,Hispanic Population,46543.06
2573,2014,Brooklyn Community Board 1,Hispanic Population,46389.1
2574,2015,Brooklyn Community Board 1,Hispanic Population,46235.656
2575,2016,Brooklyn Community Board 1,Hispanic Population,46082.715
2576,2017,Brooklyn Community Board 1,Hispanic Population,45930.28
2577,2018,Brooklyn Community Board 1,Hispanic Population,45778.35
2578,2019,Brooklyn Community Board 1,Hispanic Population,45626.926
2579,2020,Brooklyn Community Board 1,Hispanic Population,45476.0
2580,2021,Brooklyn Community Board 1,Hispanic Population,45325.574
2581,2022,Brooklyn Community Board 1,Hispanic Population,45175.645
2582,2023,Brooklyn Community Board 1,Hispanic Population,45026.21
2583,2024,Brooklyn Community Board 1,Hispanic Population,44877.273
2584,2006,Brooklyn Community Board 1,Household Population,160746.86
2585,2007,Brooklyn Community Board 1,Household Population,163404.03
2586,2008,Brooklyn Community Board 1,Household Population,166105.12
2587,2009,Brooklyn Community Board 1,Household Population,168850.88
2588,2010,Brooklyn Community Board 1,Household Population,171642.0
2589,2011,Brooklyn Community Board 1,Household Population,174479.27
2590,2012,Brooklyn Community Board 1,Household Population,177363.44
2591,2013,Brooklyn Community Board 1,Household Population,180295.28
2592,2014,Brooklyn Community Board 1,Household Population,183275.6
2593,2015,Brooklyn Community Board 1,Household Population,186305.17
2594,2016,Brooklyn Community Board 1,Household Population,189384.83
2595,2017,Brooklyn Community Board 1,Household Population,192515.39
2596,2018,Brooklyn Community Board 1,Household Population,195697.7
2597,2019,Brooklyn Community Board 1,Household Population,198932.61
2598,2020,Brooklyn Community Board 1,Household Population,202221.0
2599,2021,Brooklyn Community Board 1,Household Population,205563.75
2600,2022,Brooklyn Community Board 1,Household Population,208961.75
2601,2023,Brooklyn Community Board 1,Household Population,212415.92
2602,2024,Brooklyn Community Board 1,Household Population,215927.19
2603,2006,Brooklyn Community Board 1,Housing Units,65994.04
2604,2007,Brooklyn Community Board 1,Housing Units,67471.42
2605,2008,Brooklyn Community Board 1,Housing Units,68981.88
2606,2009,Brooklyn Community Board 1,Housing Units,70526.16
2607,2010,Brooklyn Community Board 1,Housing Units,72105.0
2608,2011,Brooklyn Community Board 1,Housing Units,73719.19
2609,2012,Brooklyn Community Board 1,Housing Units,75369.516
2610,2013,Brooklyn Community Board 1,Housing Units,77056.78
2611,2014,Brooklyn Community Board 1,Housing Units,78781.83
2612,2015,Brooklyn Community Board 1,Housing Units,80545.484
2613,2016,Brooklyn Community Board 1,Housing Units,82348.625
2614,2017,Brooklyn Community Board 1,Housing Units,84192.14
2615,2018,Brooklyn Community Board 1,Housing Units,86076.914
2616,2019,Brooklyn Community Board 1,Housing Units,88003.89
2617,2020,Brooklyn Community Board 1,Housing Units,89974.0
2618,2021,Brooklyn Community Board 1,Housing Units,91988.22
2619,2022,Brooklyn Community Board 1,Housing Units,94047.52
2620,2023,Brooklyn Community Board 1,Housing Units,96152.93
2621,2024,Brooklyn Community Board 1,Housing Units,98305.47
2622,2006,Brooklyn Community Board 1,Occupied Housing,59915.023
2623,2007,Brooklyn Community Board 1,Occupied Housing,61344.77
2624,2008,Brooklyn Community Board 1,Occupied Housing,62808.637
2625,2009,Brooklyn Community Board 1,Occupied Housing,64307.438
2626,2010,Brooklyn Community Board 1,Occupied Housing,65842.0
2627,2011,Brooklyn Community Board 1,Occupied Housing,67413.18
2628,2012,Brooklyn Community Board 1,Occupied Housing,69021.86
2629,2013,Brooklyn Community Board 1,Occupied Housing,70668.92
2630,2014,Brooklyn Community Board 1,Occupied Housing,72355.29
2631,2015,Brooklyn Community Board 1,Occupied Housing,74081.9
2632,2016,Brooklyn Community Board 1,Occupied Housing,75849.71
2633,2017,Brooklyn Community Board 1,Occupied Housing,77659.71
2634,2018,Brooklyn Community Board 1,Occupied Housing,79512.9
2635,2019,Brooklyn Community Board 1,Occupied Housing,81410.31
2636,2020,Brooklyn Community Board 1,Occupied Housing,83353.0
2637,2021,Brooklyn Community Board 1,Occupied Housing,85342.05
2638,2022,Brooklyn Community Board 1,Occupied Housing,87378.56
2639,2023,Brooklyn Community Board 1,Occupied Housing,89463.67
2640,2024,Brooklyn Community Board 1,Occupied Housing,91598.53
2641,2006,Brooklyn Community Board 1,Other Population,523.9727
2642,2007,Brooklyn Community Board 1,Other Population,592.8977
2643,2008,Brooklyn Community Board 1,Other Population,670.88934
2644,2009,Brooklyn Community Board 1,Other Population,759.14026
2645,2010,Brooklyn Community Board 1,Other Population,859.0
2646,2011,Brooklyn Community Board 1,Other Population,971.9956
2647,2012,Brooklyn Community Board 1,Other Population,1099.855
2648,2013,Brooklyn Community Board 1,Other Population,1244.5333
2649,2014,Brooklyn Community Board 1,Other Population,1408.2432
2650,2015,Brooklyn Community Board 1,Other Population,1593.488
2651,2016,Brooklyn Community Board 1,Other Population,1803.1005
2652,2017,Brooklyn Community Board 1,Other Population,2040.286
2653,2018,Brooklyn Community Board 1,Other Population,2308.6716
2654,2019,Brooklyn Community Board 1,Other Population,2612.3616
2655,2020,Brooklyn Community Board 1,Other Population,2956.0
2656,2021,Brooklyn Community Board 1,Other Population,3344.8416
2657,2022,Brooklyn Community Board 1,Other Population,3784.8328
2658,2023,Brooklyn Community Board 1,Other Population,4282.7017
2659,2024,Brooklyn Community Board 1,Other Population,4846.0615
2660,2006,Brooklyn Community Board 1,Population,162030.84
2661,2007,Brooklyn Community Board 1,Population,164725.89
2662,2008,Brooklyn Community Board 1,Population,167465.77
2663,2009,Brooklyn Community Board 1,Population,170251.22
2664,2010,Brooklyn Community Board 1,Population,173083.0
2665,2011,Brooklyn Community Board 1,Population,175961.88
2666,2012,Brooklyn Community Board 1,Population,178888.64
2667,2013,Brooklyn Community Board 1,Population,181864.1
2668,2014,Brooklyn Community Board 1,Population,184889.02
2669,2015,Brooklyn Community Board 1,Population,187964.27
2670,2016,Brooklyn Community Board 1,Population,191090.67
2671,2017,Brooklyn Community Board 1,Population,194269.08
2672,2018,Brooklyn Community Board 1,Population,197500.34
2673,2019,Brooklyn Community Board 1,Population,200785.34
2674,2020,Brooklyn Community Board 1,Population,204125.0
2675,2021,Brooklyn Community Board 1,Population,207520.2
2676,2022,Brooklyn Community Board 1,Population,210971.88
2677,2023,Brooklyn Community Board 1,Population,214480.95
2678,2024,Brooklyn Community Board 1,Population,218048.4
2679,2006,Brooklyn Community Board 1,Under 18 Population,39955.79
2680,2007,Brooklyn Community Board 1,Under 18 Population,40278.902
2681,2008,Brooklyn Community Board 1,Under 18 Population,40604.625
2682,2009,Brooklyn Community Board 1,Under 18 Population,40932.984
2683,2010,Brooklyn Community Board 1,Under 18 Population,41264.0
2684,2011,Brooklyn Community Board 1,Under 18 Population,41597.69
2685,2012,Brooklyn Community Board 1,Under 18 Population,41934.082
2686,2013,Brooklyn Community Board 1,Under 18 Population,42273.19
2687,2014,Brooklyn Community Board 1,Under 18 Population,42615.043
2688,2015,Brooklyn Community Board 1,Under 18 Population,42959.66
2689,2016,Brooklyn Community Board 1,Under 18 Population,43307.062
2690,2017,Brooklyn Community Board 1,Under 18 Population,43657.277
2691,2018,Brooklyn Community Board 1,Under 18 Population,44010.32
2692,2019,Brooklyn Community Board 1,Under 18 Population,44366.223
2693,2020,Brooklyn Community Board 1,Under 18 Population,44725.0
2694,2021,Brooklyn Community Board 1,Under 18 Population,45086.68
2695,2022,Brooklyn Community Board 1,Under 18 Population,45451.285
2696,2023,Brooklyn Community Board 1,Under 18 Population,45818.836
2697,2024,Brooklyn Community Board 1,Under 18 Population,46189.363
2698,2006,Brooklyn Community Board 1,White Population,98559.83
2699,2007,Brooklyn Community Board 1,White Population,100205.92
2700,2008,Brooklyn Community Board 1,White Population,101879.51
2701,2009,Brooklyn Community Board 1,White Population,103581.05
2702,2010,Brooklyn Community Board 1,White Population,105311.0
2703,2011,Brooklyn Community Board 1,White Population,107069.85
2704,2012,Brooklyn Community Board 1,White Population,108858.07
2705,2013,Brooklyn Community Board 1,White Population,110676.164
2706,2014,Brooklyn Community Board 1,White Population,112524.62
2707,2015,Brooklyn Community Board 1,White Population,114403.94
2708,2016,Brooklyn Community Board 1,White Population,116314.66
2709,2017,Brooklyn Community Board 1,White Population,118257.28
2710,2018,Brooklyn Community Board 1,White Population,120232.35
2711,2019,Brooklyn Community Board 1,White Population,122240.41
2712,2020,Brooklyn Community Board 1,White Population,124282.0
2713,2021,Brooklyn Community Board 1,White Population,126357.695
2714,2022,Brooklyn Community Board 1,White Population,128468.05
2715,2023,Brooklyn Community Board 1,White Population,130613.66
2716,2024,Brooklyn Community Board 1,White Population,132795.1
2717,2006,Brooklyn Community Board 10,Asian Population,22358.375
2718,2007,Brooklyn Community Board 10,Asian Population,23160.342
2719,2008,Brooklyn Community Board 10,Asian Population,23991.074
2720,2009,Brooklyn Community Board 10,Asian Population,24851.604
2721,2010,Brooklyn Community Board 10,Asian Population,25743.0
2722,2011,Brooklyn Community Board 10,Asian Population,26666.37
2723,2012,Brooklyn Community Board 10,Asian Population,27622.86
2724,2013,Brooklyn Community Board 10,Asian Population,28613.656
2725,2014,Brooklyn Community Board 10,Asian Population,29639.992
2726,2015,Brooklyn Community Board 10,Asian Population,30703.143
2727,2016,Brooklyn Community Board 10,Asian Population,31804.426
2728,2017,Brooklyn Community Board 10,Asian Population,32945.21
2729,2018,Brooklyn Community Board 10,Asian Population,34126.914
2730,2019,Brooklyn Community Board 10,Asian Population,35351.004
2731,2020,Brooklyn Community Board 10,Asian Population,36619.0
2732,2021,Brooklyn Community Board 10,Asian Population,37932.477
2733,2022,Brooklyn Community Board 10,Asian Population,39293.07
2734,2023,Brooklyn Community Board 10,Asian Population,40702.46
2735,2024,Brooklyn Community Board 10,Asian Population,42162.41
2736,2006,Brooklyn Community Board 10,Average Household Size,2.3724709
2737,2007,Brooklyn Community Board 10,Average Household Size,2.3867242
2738,2008,Brooklyn Community Board 10,Average Household Size,2.4010632
2739,2009,Brooklyn Community Board 10,Average Household Size,2.4154882
2740,2010,Brooklyn Community Board 10,Average Household Size,2.43
2741,2011,Brooklyn Community Board 10,Average Household Size,2.444599
2742,2012,Brooklyn Community Board 10,Average Household Size,2.4592855
2743,2013,Brooklyn Community Board 10,Average Household Size,2.4740605
2744,2014,Brooklyn Community Board 10,Average Household Size,2.488924
2745,2015,Brooklyn Community Board 10,Average Household Size,2.503877
2746,2016,Brooklyn Community Board 10,Average Household Size,2.5189197
